country,wp_id,title,score,errors,warnings
US,20440,"Casas Padel Club Aventura",81,0,1
US,20443,"Padel39 (North Austin)",81,0,1
US,20147,"The King of Padel SA",81,0,1
US,20105,"IMGN Park",81,0,1
US,20032,"40Forty Padel Club",81,0,1
US,20035,"Padel Paso",81,0,1
US,19933,"Pick and Padel",81,0,1
US,19901,"Padel 9 - El Paso",81,0,1
US,19882,"Sodo Padel",81,0,1
US,19829,"Dallas Padel Club by Padel39",81,0,1
US,19831,"Phantom Padel",81,0,1
US,19790,"NorthPoint Padel",81,0,1
US,19594,"Mesa Padel Club",81,0,1
US,19598,"Ola Padel Club by Nox",81,0,1
US,19550,"RGV Padel Club",81,0,1
US,19487,"Palm Beach Padel",81,0,1
US,19486,"Padel Country Club",81,0,1
US,19484,"Pulse Padel Hub",81,0,1
GB,18871,"Padelheim",81,0,1
GB,18808,"Podington Padel",81,0,1
GB,18769,"Belfast Boat Club Padel",81,0,1
GB,18235,"Tennis England Club",81,0,1
GB,18101,"Padel Project UK South Shields",81,0,1
GB,18059,"Padel World UK",81,0,1
GB,18036,"Purple Padel Club",81,0,1
GB,17991,"Eat Sleep Padel",81,0,1
GB,17938,"Padel People Sedlescombe",81,0,1
GB,17832,"Matchbox Pickleball",81,0,1
GB,17749,"Padel at Cotswolds Hotel & Spa",81,0,1
GB,17660,"Barnsgrove",81,0,1
GB,17613,"Padel United Chelmsford",81,0,1
GB,17124,"The Padel Inn",81,0,1
US,20900,"Reserve Padel UES Manhattan",81,0,2
US,20859,"Club Pickle & Padel",81,0,2
US,20845,"The Houstonian Club",81,0,2
US,20467,"Brickell Soccer & Padel",81,0,2
US,20466,"Mouratoglou Academy Zephyrhills",81,0,2
US,20297,"Orlando Padel Club Indoor",81,0,2
US,20216,"Padel Plant",81,0,2
US,19614,"Park Padel Oyster Point",81,0,2
US,19596,"Smart Padel House",81,0,2
AU,19104,"Birkdale Padel Club",81,0,2
GB,19034,"Racquet Garden",81,0,2
GB,18374,"Alsager Padel",81,0,2
GB,18325,"Quik Padel",81,0,2
GB,18140,"Eastbourne Padel Club",81,0,2
GB,18034,"Destination Padel Cheadle",81,0,2
GB,17996,"Padel People Boston",81,0,2
GB,17990,"Frodsham Padel Club",81,0,2
GB,17986,"GSM Padel",81,0,2
US,20948,"M PADEL BOSTON",81,0,3
US,20707,"Padel Den",81,0,3
US,19417,"Kingdom of Padel",81,0,3
GB,18391,"Chiltern Padel Club",81,0,3
GB,18305,"The Northern Padel House",81,0,3
GB,18172,"Glossop Padel",81,0,3
GB,18037,"The Shed Chidham",81,0,3
GB,17768,"Hascombe Farm",81,0,3
AE,14613,"Sky mark GT Padel",81,1,3
GB,19115,"Padel at Floodbridge Farm",81,0,4
AE,16291,"Bin Salman Padel Court",81,1,5
AE,12501,"Business Bay Padel Courts",81,1,5
AE,12244,"Fluxion Padel Park Arena Hub",81,1,5
GB,17237,"Chalk Padel",80,0,0
US,19889,"Padel& Syosset",80,0,1
US,19854,"THE SET Padel & Pickleball",80,0,1
